TeamID,StudentID,Activity,TaskLevel,Player,Board,EventDate,EventTime,EventTimestamp,TimeSpent,DataCode,DataDesc,Data01,Data02,Data03,Data04,Data05,Data06,ContextE,ContextR0,ContextR1,ContextR2,ContextR3,ContextGR1,ContextGR2,ContextGR3,ContextV1,ContextV2,ContextV3,ContextGV1,ContextGV2,ContextGV3,ContextConnected
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:23,1538498243055,0,1000,started session,,,,,,,17,820,100,180,330,820,820,820,1.19,2.14,3.92,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:23,1538498243055,0,1500,chose [group],Vegetables,,,,,,17,820,100,180,330,820,820,820,1.19,2.14,3.92,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:23,1538498243058,0.003,1100,joined [group],Vegetables,,,,,,17,820,100,180,330,820,820,820,1.19,2.14,3.92,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:23,1538498243061,0.003,1600,chose [username],Lettuce,,,,,,17,820,100,180,330,820,820,820,1.19,2.14,3.92,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:23,1538498243062,0.001,1700,chose [board],0,,,,,,17,820,100,180,330,820,820,820,1.19,2.14,3.92,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:23,1538498243447,0.385,1210,loaded [level],2,,,,,,17,820,100,180,330,820,820,820,1.19,2.14,3.92,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:23,1538498243447,0,1200,loaded [activity],three-resistors,,,,,,17,820,100,180,330,820,820,820,1.19,2.14,3.92,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:23,1538498243448,0.001,1300,loaded goals [R1] [R2] [R3],820,820,820,,,,17,820,100,180,330,820,820,820,1.19,2.14,3.92,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:23,1538498243450,0.002,7000,started tutorial step [number] with title '[title]',1,Change the resistor,,,,,17,820,100,180,330,820,820,820,1.19,2.14,3.92,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:23,1538498243473,0.023,1310,loaded initial [E] [R0] [R1] [R2] [R3],17,820,100,180,330,,17,820,100,180,330,820,820,820,1.19,2.14,3.92,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:23,1538498243474,0.001,1320,loaded goals [V1] [V2] [V3],4.25,4.25,4.25,,,,17,820,100,180,330,820,820,820,1.19,2.14,3.92,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:34,1538498254071,10.597,7000,"completed tutorial step [number] with title '[title]', timed out is [timed out]",1,Change the resistor,false,,,,17,820,150,180,330,820,820,820,1.72,2.07,3.79,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:34,1538498254073,0.002,4000,changed [resistor] from [value] to [value] via [keypress],r1,150,150,change,,,17,820,150,180,330,820,820,820,1.72,2.07,3.79,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:36,1538498256030,1.957,7000,started tutorial step [number] with title '[title]',2,Use the multimeter to measure voltage,,,,,17,820,150,180,330,820,820,820,1.72,2.07,3.79,4.25,4.25,4.25,true
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:36,1538498256989,0.959,3100,disconnected lead at [location],c14,,,,,,17,820,150,180,330,820,820,820,1.72,2.07,3.79,4.25,4.25,4.25,false
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:39,1538498259207,2.218,3100,disconnected lead at [location],a14,,,,,,17,820,150,180,330,820,820,820,1.72,2.07,3.79,4.25,4.25,4.25,false
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:42,1538498262384,3.177,3110,reconnected lead at [location],a14,,,,,,17,820,150,180,330,820,820,820,1.72,2.07,3.79,4.25,4.25,4.25,false
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:43,1538498263269,0.885,3100,disconnected lead at [location],a14,,,,,,17,820,150,180,330,820,820,820,1.72,2.07,3.79,4.25,4.25,4.25,false
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:43,1538498263749,0.48,3110,reconnected lead at [location],a14,,,,,,17,820,150,180,330,820,820,820,1.72,2.07,3.79,4.25,4.25,4.25,false
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:44,1538498264410,0.661,3100,disconnected lead at [location],a14,,,,,,17,820,150,180,330,820,820,820,1.72,2.07,3.79,4.25,4.25,4.25,false
Vegetables,181927,three-resistors-tutorial-no-pulldown,2,Lettuce,1,10/02/2018,12:37:49,1538498269969,5.559,3110,reconnected lead at [location],a14,,,,,,17,820,150,180,330,820,820,820,1.72,2.07,3.79,4.25,4.25,4.25,false
